key,fit,status,gate_loose,gate_strict,gate_xecs,xecs_valid,xecs_reason,nch,DPoff,TE_ms,fRBC,fTP,df,df_xecs,target,ratio_steve,ratio_scalar,F_lump,ratio_m2,TEeff_us,dphi_old,dphi_new,dphi_steve_k0,steve_minus_xecs,dphi_k0_m2,dphi_rep_sd,stab_dphi,stab_F,xecs_stable,dphi_line,line_minus_new,fit_consistent,killpts_corr_deg,model_used,snr_diss,carrier,carrier_ppm,gain_old,gain_new,cond_new,nbins,bins_split_old,bins_resplit,insp_bin,ph_old_insp,ph_new_insp,R_new_insp,R_new_med,ratio_lung_new_insp,corr_old_insp,corr_new_insp,corr_old_med,corr_new_med,negTP_old_insp,negTP_new_insp,negTP_old_med,negTP_new_med,negRBC_old_insp,negRBC_new_insp,lungRBC_old_insp,lungTP_old_insp,lungRBC_new_insp,lungTP_new_insp,mat
2024-05-08_012EB,xecs,resplit,pass,df=293Hz,pass,yes,,1,218,0.62,-68.2,-361.6,293.4,320.7,0.2407,0.1134,0.1696,1.419,0.127,303.9,32.1,55.8,87.97,32.17,73.3,8.7,1,1.002,yes,97.59,9.625,True,-11.62,M3,73,ON_RBC,217.8,1.882,1.209,good,16,16,16,8,4.93,0.942,0.2402,0.2404,0.2402,-0.7957,-0.445,-0.8804,-0.6445,11.75,9.906,10.76,9.262,60.28,21.25,-73.89,564,104.8,436.5,/Volumes/HoomHamExt/AIkill_Dynamic/2024-05-08_012EB/d/recon_resplit_xecs.mat
2024-05-13_002ZS,xecs,resplit,pass,pass,pass,yes,unstable_drop3,1,218,0.62,-32.01,-355.3,323.3,316.7,0.3214,0.1951,0.2136,1.504,0.2434,-114,-13.27,57.8,59.71,1.908,50.7,9.7,1.5,1.239,no,58.88,-0.8231,True,-12.8,M3,63.9,ON_RBC,216.3,4.358,1.182,good,16,16,16,8,5.38,0.396,0.3222,0.3214,0.3222,-0.9666,-0.4393,-0.9725,-0.5148,81.23,2.164,80.34,3.745,5.45,12.67,955.8,-441.6,143.4,445.3,/Volumes/HoomHamExt/AIkill_Dynamic/2024-05-13_002ZS/d/recon_resplit_xecs.mat
2024-05-13_005JJ,xecs,no_xecs_row,pass,df=296Hz,,,session has no usable cal block in the XeCS table,1,218,0.62,-63.78,-359.6,295.8,,,0.1154,,,,330.6,35.2,,75.98,,,,,,,101.2,25.24,False,-11.71,,,,,1.735,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-18_003PM,xecs,resplit,pass,pass,pass,yes,,1,218,0.62,-21.95,-361.3,339.3,339.6,0.3189,0.1942,0.2341,1.362,0.228,-40.34,-4.928,54.5,63.05,8.55,55.9,3.2,0,1.029,yes,70.81,7.762,True,-13.44,M3,69.8,ON_RBC,218,11.64,1.228,good,16,16,16,8,5.39,0.38,0.319,0.3189,0.319,-0.9946,-0.4496,-0.9956,-0.5116,81.39,0.8805,81.73,1.193,9.982,8.032,2630,-1757,234.7,735.7,/Volumes/HoomHamExt/AIkill_Dynamic/2024-06-18_003PM/d/recon_resplit_xecs.mat
2024-07-03_044DY,xecs,resplit,pass,pass,pass,yes,,1,218,0.62,-35.69,-364.4,328.7,337.4,0.2869,0.1731,0.1925,1.491,0.2124,-48.22,-5.706,47.5,62.66,15.16,51.6,2.4,0,1.036,yes,67.65,4.993,True,-13.02,M3,69.1,ON_RBC,217.8,10.06,1.356,good,16,16,16,7,5.44,0.321,0.2867,0.2868,0.2867,-0.9968,-0.7801,-0.9958,-0.7208,81.29,1.112,83.33,0.97,9.098,10,3696,-2274,343,1196,/Volumes/HoomHamExt/AIkill_Dynamic/2024-07-03_044DY/d/recon_resplit_xecs.mat
2024-07-29_004DS,xecs,resplit,pass,pass,pass,yes,,1,218,0.62,-27.41,-360.1,332.7,301.6,0.3359,0.2564,0.3098,1.084,0.261,-264.3,-31.65,64.5,49.27,-15.23,48.8,4.6,1.6,1.023,yes,42.6,-6.675,True,-13.17,M3,61.9,ON_RBC,218.1,1.906,1.108,good,16,16,16,5,5.48,0.322,0.3366,0.3359,0.3366,-0.7667,-0.2353,-0.82,-0.3652,71.54,2.499,71.51,2.586,3.67,12.03,584.5,-102.8,142,422,/Volumes/HoomHamExt/AIkill_Dynamic/2024-07-29_004DS/d/recon_resplit_xecs.mat
2024-08-12_013VM,xecs,resplit,pass,pass,pass,yes,,1,218,0.62,-24.93,-367.4,342.5,328.4,0.291,0.146,0.219,1.329,0.1783,-105.7,-13.03,49.6,55.19,5.592,43.9,5.8,3.6,1.002,yes,63.41,8.215,True,-13.56,M3,66.4,ON_RBC,217.9,4.434,1.313,good,16,16,16,7,5.41,0.347,0.2919,0.2913,0.2919,-0.9682,-0.5787,-0.9749,-0.6565,80.26,1.663,77.97,2.524,5.745,15.43,920.1,-414,126.7,434.1,/Volumes/HoomHamExt/AIkill_Dynamic/2024-08-12_013VM/d/recon_resplit_xecs.mat
2024-08-12_013VM_merged,xecs,resplit,pass,pass,pass,yes,,1,218,0.62,-23.06,-368.9,345.8,328.4,0.291,0.1505,0.219,1.329,0.1783,-149.2,-18.57,49.6,53.31,3.708,43.9,5.8,3.6,1.002,yes,58.61,5.307,True,-13.69,M3,66.4,ON_RBC,217.9,3.14,1.313,good,16,16,16,7,5.4,0.354,0.2907,0.2912,0.2907,-0.9314,-0.5583,-0.9498,-0.6582,82.33,1.537,79.75,2.213,3.316,14.11,787.6,-303.9,122.3,420.9,/Volumes/HoomHamExt/AIkill_Dynamic/2024-08-12_013VM_merged/d/recon_resplit_xecs.mat
2024-08-15_006MM,xecs,resplit,fRBC=-270Hz(exp0),fRBC=-270Hz(exp0),pass,yes,carrier_ABOVE_RBC,1,218,0.62,-270,-608.2,338.2,334.7,0.3804,0.2188,0.2425,1.569,0.2858,-195.1,-23.75,42,51.66,9.665,41.8,2.9,3.4,0.994,yes,51.73,0.0694,True,-13.39,M3,62.9,ABOVE_RBC,231.3,2.482,1.494,marginal,16,16,16,9,5.78,0.053,0.3803,0.3803,0.3803,-0.9114,-0.7466,-0.926,-0.7785,72.17,4.744,75.27,5.567,3.522,18.22,754.9,-249,156,410.2,/Volumes/HoomHamExt/AIkill_Dynamic/2024-08-15_006MM/d/recon_resplit_xecs.mat
2024-08-19_015HK,xecs,resplit,pass,pass,pass,yes,,1,218,0.62,-7.417,-359.7,352.3,345.2,0.4735,0.3178,0.32,1.48,0.385,-136.1,-17.26,53.5,55.52,2.017,49.5,2.6,1.8,0.99,yes,61.37,5.849,True,-13.95,M3,58.4,ON_RBC,218,3.371,1.244,good,16,16,16,8,5.28,0.387,0.4736,0.4733,0.4736,-0.9541,-0.598,-0.9456,-0.5136,74.78,0.3167,77.83,0.3561,2.148,2.675,1309,-346.3,348.5,735.8,/Volumes/HoomHamExt/AIkill_Dynamic/2024-08-19_015HK/d/recon_resplit_xecs.mat
2024-08-21_044DY,xecs,resplit,pass,pass,pass,yes,,1,218,0.62,-25.94,-357.6,331.6,337.2,0.317,0.2045,0.2159,1.468,0.2448,-64.48,-7.698,48.6,60.65,12.05,52.4,7.1,1,1.02,yes,66.32,5.666,True,-13.13,M3,69.8,ON_RBC,217.6,7.466,1.333,good,16,16,16,7,5.4,0.34,0.316,0.317,0.316,-0.9894,-0.614,-0.9904,-0.642,77.61,6.022,80.38,6.037,13.12,10.43,2523,-1373,301.9,955.3,/Volumes/HoomHamExt/AIkill_Dynamic/2024-08-21_044DY/d/recon_resplit_xecs.mat
2024-08-23_016PG,xecs,resplit,pass,pass,pass,yes,,1,218,0.62,-2.369,-356.2,353.8,341.4,0.7891,0.584,0.4914,1.606,0.682,-206.3,-26.28,53.1,49.43,-3.666,47.8,2.2,1.8,1.04,yes,52.7,3.267,True,-14.01,M3,51.3,ON_RBC,217.8,2.259,1.25,good,16,16,16,6,5.08,0.462,0.7892,0.7893,0.7892,-0.8994,-0.6128,-0.9018,-0.6195,65.49,0.7049,66.9,1.108,0.7198,2.168,478.9,-58.36,210.4,266.5,/Volumes/HoomHamExt/AIkill_Dynamic/2024-08-23_016PG/d/recon_resplit_xecs.mat
2024-08-30_014KS,xecs,resplit,pass,pass,pass,yes,,1,218,0.62,-30.85,-360.4,329.5,322.1,0.4764,0.3379,0.3582,1.33,0.4197,-304,-36.07,38.5,38.38,-0.1181,36,2.1,1.3,1.017,yes,37.48,-0.8977,True,-13.05,M3,59.2,ON_RBC,217.9,1.699,1.606,marginal,16,16,16,8,5.36,0.249,0.4756,0.4761,0.4756,-0.8277,-0.7965,-0.8256,-0.794,78.4,1.043,78.91,1.049,0.1199,5.201,1824,-262.2,548.8,1154,/Volumes/HoomHamExt/AIkill_Dynamic/2024-08-30_014KS/d/recon_resplit_xecs.mat
2024-09-03_041WF,xecs,resplit,pass,pass,pass,yes,,1,218,0.62,0.243,-355.3,355.5,359.3,0.3759,0.254,0.2356,1.595,0.3061,-2.992,-0.383,58.3,69.08,10.78,58.5,1.9,2.2,0.996,yes,78.97,9.896,True,-14.08,M3,61,ON_RBC,217.8,149.6,1.175,good,16,8,16,7,5.3,0.431,0.3767,0.3758,0.3767,-1,-0.5931,-1,-0.4833,85.05,1.241,85.11,2.227,14.27,4.587,2.424e+04,-2.333e+04,280.8,745.4,/Volumes/HoomHamExt/AIkill_Dynamic/2024-09-03_041WF/d/recon_resplit_xecs.mat
2024-09-09_043AS,xecs,resplit,pass,pass,pass,yes,,1,218,0.62,-22.83,-358.7,335.8,347.1,0.2687,0.1582,0.1929,1.393,0.1922,43.35,5.241,55.5,71.55,16.05,56,3.7,0.7,1.037,yes,80.2,8.65,True,-13.3,M3,71.3,ON_RBC,218,10.95,1.213,good,16,16,16,7,5.31,0.44,0.2685,0.2688,0.2685,-0.9951,-0.5181,-0.9957,-0.557,11.78,0.7819,10.77,0.7003,79.14,8.176,-1790,2846,246.3,917.2,/Volumes/HoomHamExt/AIkill_Dynamic/2024-09-09_043AS/d/recon_resplit_xecs.mat
2024-09-10_008TP,xecs,resplit,pass,pass,pass,yes,,1,218,0.62,-15.38,-359.1,343.7,336.1,0.445,0.3106,0.3329,1.337,0.3577,-177,-21.9,53.1,52.42,-0.6819,48.4,1.6,1.1,1.011,yes,54.82,2.402,True,-13.61,M3,65.4,ON_RBC,217.8,2.681,1.25,good,16,16,16,7,5.35,0.362,0.445,0.445,0.445,-0.8797,-0.4249,-0.9316,-0.6139,76.96,0.2957,77.69,0.5355,1.253,3.312,1433,-321.7,385.7,866.9,/Volumes/HoomHamExt/AIkill_Dynamic/2024-09-10_008TP/d/recon_resplit_xecs.mat
2024-09-10_045VS,xecs,resplit,pass,pass,pass,yes,,1,218,0.62,-9.273,-359.2,350,357.6,0.3933,0.2934,0.2635,1.493,0.3328,-45.44,-5.725,54.3,64.35,10.05,58.8,2.8,1.5,0.957,yes,72.39,8.034,True,-13.86,M3,67.8,ON_RBC,217.8,10.02,1.231,good,16,16,16,6,5.29,0.459,0.3924,0.3931,0.3924,-0.9942,-0.5334,-0.9942,-0.5299,87.39,0.9308,88.03,1.381,7.308,4.518,6202,-4226,630.9,1608,/Volumes/HoomHamExt/AIkill_Dynamic/2024-09-10_045VS/d/recon_resplit_xecs.mat
2024-09-24_039CP,xecs,resplit,pass,pass,pass,yes,,1,218,0.62,-68.2,-413.8,345.5,346.7,0.3868,0.2582,0.2562,1.51,0.3186,-61.24,-7.618,53.3,62.35,9.054,53.1,2.7,1.6,0.996,yes,69.51,7.155,True,-13.68,M3,61.1,ON_RBC,220.4,7.543,1.247,good,16,16,16,7,5.39,0.388,0.3871,0.3864,0.3871,-0.9913,-0.5966,-0.9901,-0.5592,84.82,0.3865,84.26,0.6678,4.891,5.449,2523,-1421,344.8,890.6,/Volumes/HoomHamExt/AIkill_Dynamic/2024-09-24_039CP/d/recon_resplit_xecs.mat
2024-09-24_046AA,xecs,resplit,pass,pass,pass,yes,,1,218,0.62,0.6925,-353,353.7,359.6,0.3111,0.2045,0.2066,1.506,0.2467,-62.26,-7.928,53.5,65.27,11.77,54.6,4.5,0.4,1.058,yes,71.02,5.748,True,-14.01,M3,67.2,ON_RBC,216.7,7.25,1.244,good,16,16,16,7,5.38,0.362,0.3107,0.3109,0.3107,-0.9917,-0.6427,-0.9905,-0.5843,80.26,0.6953,81.52,0.8735,6.83,11.91,1726,-918.8,212,682.3,/Volumes/HoomHamExt/AIkill_Dynamic/2024-09-24_046AA/d/recon_resplit_xecs.mat
2024-09-25_017ED,xecs,no_xecs_row,pass,pass,,,session has no usable cal block in the XeCS table,1,218,0.62,5.595,-355.5,361.1,,,0.276,,,,24.18,3.144,,57.67,,,,,,,83.74,26.07,False,-14.3,,,,,18.23,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-26_009ML,xecs,resplit,pass,pass,pass,yes,,1,218,0.62,-20.4,-354.6,334.2,333.9,0.3873,0.2497,0.2664,1.454,0.3115,-100.2,-12.06,50.4,57.96,7.56,49,1.6,0.9,1.006,yes,62.54,4.581,True,-13.24,M3,61.9,ON_RBC,217.9,4.787,1.298,good,16,16,16,7,5.36,0.33,0.3881,0.3875,0.3881,-0.9697,-0.5272,-0.9769,-0.6269,78.91,0.3565,83.39,0.4739,3.368,3.804,2264,-777.5,457.6,1179,/Volumes/HoomHamExt/AIkill_Dynamic/2024-09-26_009ML/d/recon_resplit_xecs.mat
2024-09-27_036RL,xecs,resplit,pass,pass,pass,yes,,1,218,0.62,-34.63,-349.5,314.9,331,0.2302,0.1128,0.1561,1.474,0.1484,78.52,8.901,49.5,73.54,24.04,50.8,5.5,2.1,1.023,yes,79.19,5.649,True,-12.47,M3,68.7,ON_RBC,217.6,6.463,1.315,good,16,16,16,6,5.27,0.472,0.2296,0.2301,0.2296,-0.9902,-0.7112,-0.9878,-0.652,7.04,0.9006,6.858,1.315,80.2,13.42,-744.1,1503,153.4,668.3,/Volumes/HoomHamExt/AIkill_Dynamic/2024-09-27_036RL/d/recon_resplit_xecs.mat
2024-10-02_011CN,xecs,resplit,pass,pass,pass,yes,,1,218,0.62,-15.2,-364.5,349.3,343.4,0.3968,0.2507,0.2787,1.424,0.283,-73.63,-9.258,55.8,61.09,5.287,55.2,5,2.7,1.013,yes,68.7,7.614,True,-13.83,M3,67,ON_RBC,217.7,6.216,1.209,good,16,16,16,8,5.34,0.455,0.397,0.3966,0.397,-0.9901,-0.6379,-0.9884,-0.585,79.46,3.341,77.98,4.008,9.113,9.233,1137,-637.9,162.2,408.4,/Volumes/HoomHamExt/AIkill_Dynamic/2024-10-02_011CN/d/recon_resplit_xecs.mat
2024-10-02_018CS,xecs,resplit,pass,pass,pass,yes,unstable_drop3,1,218,0.62,-28.22,-362,333.8,317.5,0.5754,0.3445,0.3698,1.556,0.3971,-181.2,-21.78,46.6,52.93,6.327,47.8,9,4.9,1.422,no,52.73,-0.1943,True,-13.22,M3,42.4,ON_RBC,217.7,2.696,1.376,good,16,16,16,7,5.25,0.416,0.5751,0.5757,0.5751,-0.8679,-0.4529,-0.9312,-0.7283,74.15,3.345,72.33,6.568,3.111,8.931,482.7,-147.6,138.2,240.3,/Volumes/HoomHamExt/AIkill_Dynamic/2024-10-02_018CS/d/recon_resplit_xecs.mat
2024-10-08_009JT,xecs,resplit,pass,pass,pass,yes,unstable_drop3,1,218,0.62,-9.644,-365.8,356.2,328.9,0.3761,0.2009,0.2654,1.417,0.2354,-93.3,-11.96,57.7,53.89,-3.81,49.8,8.1,6.7,1.066,no,67.54,13.65,True,-14.1,M3,65.1,ON_RBC,218,4.824,1.183,good,16,16,16,8,5.34,0.481,0.3755,0.3761,0.3755,-0.9777,-0.5459,-0.9771,-0.5161,77.46,4.52,74.35,6.156,11.26,15.74,560.2,-299.4,82.94,220.9,/Volumes/HoomHamExt/AIkill_Dynamic/2024-10-08_009JT/d/recon_resplit_xecs.mat
2024-10-10_019LR,xecs,resplit,pass,pass,pass,yes,,1,218,0.62,-35.55,-373.8,338.2,322.2,0.3614,0.2034,0.3015,1.198,0.2403,-251.5,-30.62,46.1,46.45,0.3495,40.5,5.7,1.5,1.029,yes,44.87,-1.577,True,-13.39,M3,70.6,ON_RBC,217.7,1.963,1.388,good,16,16,16,10,5.42,0.345,0.3617,0.3614,0.3617,-0.8294,-0.5127,-0.8307,-0.6274,75.85,5.662,74.89,7.837,4.109,12.8,717,-209.1,155,428.5,/Volumes/HoomHamExt/AIkill_Dynamic/2024-10-10_019LR/d/recon_resplit_xecs.mat
2024-10-16_020JS,xecs,resplit,pass,pass,pass,yes,unstable_drop3,1,218,0.62,-25.42,-363.8,338.4,348.2,0.2383,0.191,0.2383,1,0.2383,96.25,11.73,57.7,68.3,10.6,57.7,4.9,5.9,1.538,no,87.26,18.96,True,-13.4,M2,60.5,ON_RBC,217.8,4.921,1.183,good,16,16,16,6,5.12,0.58,0.2386,0.2383,0.2386,-0.9746,-0.461,-0.975,-0.4617,14.4,6.437,16.01,6.963,72.89,26.6,-302.2,627.7,70.32,294.7,/Volumes/HoomHamExt/AIkill_Dynamic/2024-10-16_020JS/d/recon_resplit_xecs.mat
2024-10-16_047SS,xecs,resplit,pass,pass,pass,yes,,1,218,0.62,-30.46,-348.5,318,314.7,0.3231,0.1716,0.2462,1.312,0.2387,18.23,2.087,55.3,67.38,12.08,49,11,3.3,1.003,yes,73.06,5.686,True,-12.59,M3,61.3,ON_RBC,217.9,27.46,1.216,good,16,16,16,9,5.35,0.457,0.3225,0.3228,0.3225,-0.9994,-0.6043,-0.9992,-0.4971,14.92,1.053,16.62,1.426,81.53,11.68,-2356,2785,116.7,361.9,/Volumes/HoomHamExt/AIkill_Dynamic/2024-10-16_047SS/d/recon_resplit_xecs.mat
2024-10-17_048JJ,xecs,resplit,pass,pass,pass,yes,,1,218,0.62,-27.5,-368.8,341.3,343,0.3909,0.2276,0.2328,1.679,0.2958,-49.4,-6.07,49.1,63.45,14.35,51,3.5,2.1,1.034,yes,70.12,6.665,True,-13.52,M3,59.1,ON_RBC,217.4,9.457,1.323,good,16,16,16,8,5.36,0.397,0.3903,0.3907,0.3903,-0.9967,-0.7798,-0.9944,-0.6472,80.25,1.929,80.01,3.253,10.7,7.765,1675,-1051,193.5,495.7,/Volumes/HoomHamExt/AIkill_Dynamic/2024-10-17_048JJ/d/recon_resplit_xecs.mat
2024-10-22_021CH,xecs,resplit,pass,pass,pass,yes,,1,218,0.62,-4.593,-356.9,352.3,334.8,0.504,0.331,0.3932,1.282,0.3996,-107.9,-13.68,61.1,58.14,-2.964,52.5,7.6,1.8,1.02,yes,64.95,6.811,True,-13.95,M3,59.1,ON_RBC,217.9,4.227,1.142,good,16,16,16,9,5.22,0.536,0.5038,0.5039,0.5038,-0.9594,-0.3598,-0.9771,-0.5772,78.62,2.637,75.14,3.427,6.833,6.454,796.4,-370.6,170,337.4,/Volumes/HoomHamExt/AIkill_Dynamic/2024-10-22_021CH/d/recon_resplit_xecs.mat
2024-10-23_047SS,xecs,gated,pass,df=291Hz,unstable: dphi moves 18.5 deg when one more sample is dropped,yes,unstable_drop3,1,218,0.62,-45.49,-336.4,290.9,341.8,0.1759,0.244,0.133,1.323,0.2778,276,28.91,68.1,73.53,5.43,88.1,11,18.5,0.756,no,93.84,20.31,False,-11.52,M3,33.4,ON_RBC,217.8,2.069,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-10-28_022VT,xecs,resplit,pass,pass,pass,yes,,1,218,0.62,-38.64,-378.6,340,334.5,0.3228,0.1802,0.2459,1.313,0.2167,-37.01,-4.53,48.8,59.67,10.87,52.6,10,3,1.037,yes,71.36,11.69,True,-13.46,M3,62.8,ON_RBC,218.1,12.66,1.329,good,16,16,16,10,5.35,0.459,0.322,0.3227,0.322,-0.9962,-0.6101,-0.9966,-0.6382,74.14,10.24,70.22,11.5,21.06,24.72,859.2,-670.5,51.59,160.2,/Volumes/HoomHamExt/AIkill_Dynamic/2024-10-28_022VT/d/recon_resplit_xecs.mat
2024-10-29_049WG,xecs,resplit,pass,pass,pass,yes,,1,218,0.62,-16.37,-355.4,339,345,0.4152,0.2782,0.2676,1.551,0.332,-63.33,-7.73,55.3,63.93,8.633,54,6.4,1,1.05,yes,67.94,4.01,True,-13.43,M3,59.7,ON_RBC,217.7,7.434,1.216,good,16,16,16,8,5.32,0.429,0.4152,0.4152,0.4152,-0.9936,-0.6751,-0.9913,-0.5732,76.92,1.998,77.49,2.25,10.13,10.23,871.9,-486.3,128,308.4,/Volumes/HoomHamExt/AIkill_Dynamic/2024-10-29_049WG/d/recon_resplit_xecs.mat
2024-11-05_023LL,xecs,resplit,pass,pass,pass,yes,,1,218,0.62,-18.66,-356,337.4,322.2,0.4779,0.2507,0.3173,1.506,0.3503,-143.9,-17.47,49.5,53.65,4.15,45.9,5.7,0,1.108,yes,57.82,4.174,True,-13.36,M3,56,ON_RBC,217.9,3.33,1.315,good,16,16,16,9,5.29,0.428,0.4779,0.4784,0.4779,-0.9312,-0.5175,-0.9446,-0.5654,83.42,3.446,82.98,3.762,4.742,8.803,964.9,-362.9,220.8,462,/Volumes/HoomHamExt/AIkill_Dynamic/2024-11-05_023LL/d/recon_resplit_xecs.mat
2024-11-13_025JC,xecs,resplit,pass,pass,pass,yes,,1,218,0.62,-16.06,-354.9,338.8,304.5,1.348,0.9299,0.7291,1.849,1.029,-224.4,-27.37,51.5,45.85,-5.647,46.2,2,1.8,0.956,yes,48.26,2.403,True,-13.42,M3,42.1,ON_RBC,218,2.175,1.278,good,16,16,16,7,5.01,0.535,1.347,1.349,1.347,-0.8294,-0.4756,-0.8803,-0.5877,60.57,1.073,62.27,1.71,0.2769,0.269,1316,-98.71,781.1,579.7,/Volumes/HoomHamExt/AIkill_Dynamic/2024-11-13_025JC/d/recon_resplit_xecs.mat
2024-11-18_026CH,xecs,resplit,pass,pass,pass,yes,,1,218,0.62,-45.97,-369.9,323.9,301.2,0.328,0.1452,0.2353,1.394,0.1655,-122.2,-14.25,63.3,57.05,-6.251,48.5,10.7,1.5,0.968,yes,58.05,0.9997,True,-12.83,M3,76.1,ON_RBC,218.1,4.062,1.119,good,16,16,16,7,5.57,0.394,0.3274,0.3279,0.3274,-0.9776,-0.5679,-0.9727,-0.4966,71.64,4.469,71.74,5.292,12.68,16.2,640.8,-275.6,105,320.8,/Volumes/HoomHamExt/AIkill_Dynamic/2024-11-18_026CH/d/recon_resplit_xecs.mat
2024-11-26_050EH,xecs,resplit,pass,pass,pass,yes,,1,218,0.62,-11.76,-355.2,343.5,350.7,0.3176,0.1993,0.2229,1.425,0.2553,-4.267,-0.5276,47.7,67.41,19.71,53.9,7.4,4.1,1.042,yes,76.14,8.723,True,-13.6,M3,58,ON_RBC,217,108.6,1.352,good,16,13,16,7,5.37,0.367,0.3182,0.3173,0.3182,-0.9999,-0.5257,-1,-0.6793,80.4,3.858,78.25,5.029,18.7,13.06,1.019e+04,-9684,131.1,412.1,/Volumes/HoomHamExt/AIkill_Dynamic/2024-11-26_050EH/d/recon_resplit_xecs.mat
2024-12-05_043AS,xecs,resplit,pass,pass,pass,yes,unstable_drop3,1,218,0.62,-15.69,-362.7,347,356,0.154,0.1187,0.154,1,0.154,-5695,8.638,59.4,73.89,14.49,59.4,2.9,0.3,1.932,no,86.08,12.19,True,-13.74,M2,55.5,ON_RBC,217.9,6.659,1.162,good,16,16,16,7,5.86,6.168,0.1545,0.1539,0.1545,-0.9914,-0.6097,-0.9913,-0.5602,7.635,0.5917,7.517,0.6177,79.86,23.47,-599.3,1108,74.4,481.6,/Volumes/HoomHamExt/AIkill_Dynamic/2024-12-05_043AS/d/recon_resplit_xecs.mat
2024-12-06_051VM,xecs,resplit,pass,pass,pass,yes,unstable_drop3,1,218,0.62,-23.6,-369.9,346.3,350.1,0.164,0.1449,0.164,1,0.164,-57.46,-7.163,47.6,54.76,7.162,47.6,4.2,2.7,1.428,no,70.13,15.37,True,-13.71,M2,71.3,ON_RBC,218,8.02,1.354,good,16,16,16,8,5.39,0.318,0.1647,0.1637,0.1647,-0.9941,-0.7436,-0.9942,-0.7415,71.31,7.51,70.77,8.926,19.97,36.79,501.8,-322.4,27.45,166.7,/Volumes/HoomHamExt/AIkill_Dynamic/2024-12-06_051VM/d/recon_resplit_xecs.mat
2024-12-09_027JC,xecs,resplit,pass,pass,pass,yes,,1,218,0.62,-19.42,-356.4,337,331.9,0.3669,0.1858,0.2878,1.275,0.2479,-119.3,-14.47,50.3,63.51,13.21,47.9,,0.8,1.043,yes,60.74,-2.777,True,-13.34,M3,47.6,ON_RBC,218.1,4.001,1.3,good,16,16,16,9,5.37,0.407,0.3678,0.3666,0.3678,-0.9651,-0.6164,-0.9684,-0.6412,75.49,4.89,73.14,7.029,9.257,17.65,504.9,-226.9,84.4,229.5,/Volumes/HoomHamExt/AIkill_Dynamic/2024-12-09_027JC/d/recon_resplit_xecs.mat
